MARCA,MODELO,ENLACE
ATITUDE,AT1700-04A,https://images.tcdn.com.br/img/img_prod/846719/armacao_para_oculos_de_grau_atitude_at1700_04a_4117_1_70c6e14a7ed4266744a70bcd7fb5b133.jpg
ATITUDE,AT1701-04A,https://d5gag3xtge2og.cloudfront.net/producao/34812836/G/1.jpg
ATITUDE,AT1704-13A,https://oculosshop.com.br/cdn/shop/files/57371_grande.jpg?v=1733338425
ATITUDE,AT1715-04B,https://marketplace.bancointer.com.br/ecommerce/images/platform/665cabe55afd3f45cb4b992eeef56931.png
ATITUDE,AT1719-04A,https://a-static.mlcdn.com.br/800x800/armacao-atitude-at1719-04a/oticavisaoweb/25910/bfe5ad3bdd247c0c32f99647c11af084.jpeg
ATITUDE,AT1719-04B,https://marketplace.bancointer.com.br/ecommerce/images/platform/b8752218289a9d9011f5f69abe201172.png
ATITUDE,AT1720-09A,https://oculosshop.com.br/cdn/shop/files/102872_1_grande.jpg?v=1744040826
ATITUDE,AT1720-09A,https://oculosshop.com.br/cdn/shop/files/102872_1_grande.jpg?v=1744040826
ATITUDE,AT2121-03A,https://oculosshop.com.br/cdn/shop/files/100982_1_grande.jpg?v=1726858061
ATITUDE,AT2121-04A,https://imgs.casasbahia.com.br/1565769383/1xg.jpg?imwidth=1000
ATITUDE,AT2122-02A,https://loja.oticaolhosdobem.com.br/empresa/5828/produto/produto-1417-1.jpg
ATITUDE,AT2123-05A,https://www.oticavisaoweb.com.br/pub/media/catalog/product/cache/0ee050c3ffc3555709b9bb6062f4d7e9/a/t/at2123_05a.jpg
ATITUDE,AT2123-05B,https://oculosshop.com.br/cdn/shop/files/100985_1_grande.jpg?v=1726858788
ATITUDE,AT2124-06A,https://d5gag3xtge2og.cloudfront.net/producao/34892431/G/1.jpg
ATITUDE,AT2124-07A,https://images.tcdn.com.br/img/img_prod/1365112/atitude_at2124_07a_1157_1_e638ece81965ee04b57aec445fff0c26.jpeg
ATITUDE,AT2125-08A,https://loja.oticaademar.com.br/image/cache/catalog/Produtos//51944%20-%20Armacao%20Atitude%20AT2125%2009A%2053-18%2001-800x800.jpg
ATITUDE,AT2125-13A,https://loja.oticaademar.com.br/image/cache/catalog/Produtos//51944%20-%20Armacao%20Atitude%20AT2125%2009A%2053-18%2001-800x800.jpg
ATITUDE,AT2135-02A,https://marketplace.bancointer.com.br/ecommerce/images/platform/f6e86a96efdb75be66f72e5404f01552.png
ATITUDE,AT2135-04A,https://marketplace.bancointer.com.br/ecommerce/images/platform/f6e86a96efdb75be66f72e5404f01552.png
ATITUDE,AT2135-05A,https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/armacao-atitude-at2135-05a/oticavisaoweb/25913/e8397c2c8bf91ac5405ae31b1a891d7c.jpeg
ATITUDE,AT2136-05A,https://americanas.vtexassets.com/arquivos/ids/7215573/7514013739_1_xlarge.jpg?v=638751731653900000
ATITUDE,AT2137-05A,https://www.safira.com.br/cdn/imagens/produtos/det/armacao-feminina-atitude-at2137-05a-c4c6ce2ed77e17170f05db846eec22f9.jpg
ATITUDE,AT2137-12A,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjuReI4oLXMe9vumYt6maiA5GdHj31Y3GwOg&s
ATITUDE,AT2137-13A,https://images.tcdn.com.br/img/img_prod/877056/oculos_de_grau_original_atitude_em_metal_unissex_at2137_15639_1_7c0443bf81b56bf47fae36999abcbc8d.jpg
ATITUDE,AT2138-05A,https://d5gag3xtge2og.cloudfront.net/producao/34576572/G/16.png
ATITUDE,AT2138-12A,https://goeyewear.com.br/wp-content/uploads/2024/06/AT2138-12A.jpg
ATITUDE,AT2138-13A,https://goeyewear.com.br/wp-content/uploads/2024/06/AT2138-12A.jpg
ATITUDE,AT2161-01A,https://http2.mlstatic.com/D_NQ_NP_960120-MLA95620021945_102025-O.webp
ATITUDE,AT2161-04A,https://http2.mlstatic.com/D_NQ_NP_960120-MLA95620021945_102025-O.webp
ATITUDE,AT2161-09A,https://http2.mlstatic.com/D_NQ_NP_685074-MLA85246612269_052025-O.webp
ATITUDE,AT2162-01A,https://http2.mlstatic.com/D_NQ_NP_768032-MLA95157244252_102025-O.webp
ATITUDE,AT2162-04A,https://http2.mlstatic.com/D_NQ_NP_812325-MLB82795012306_032025-O.webp
ATITUDE,AT2162-09A,https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/armacao-atitude-at2162-09a/oticavisaoweb/25917/70358c7c1b21089d440e2d155c943160.jpeg
ATITUDE,AT4126-H02,https://oticasdiniz.vtexassets.com/arquivos/ids/579342/1714825_1.jpg?v=638555278178030000
ATITUDE,AT4133-N02,https://a-static.mlcdn.com.br/%7Bw%7Dx%7Bh%7D/armacao-atitude-at4133-n02/oticavisaoweb/25277/ab55a18194813a5c0dbb97432b6b2de7.jpeg
ATITUDE,AT4147-A01,https://cdn.awsli.com.br/600x450/1650/1650992/produto/341767577/sem-t-tulo-5-68u0rjebrc.gif
ATITUDE,AT4147-N01,https://cdn.awsli.com.br/300x300/1650/1650992/produto/111057252/9d70ed1519.jpg
ATITUDE,AT4148-G01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTld4UVg1kN7PXlA9aZA-kuHpwPH8yE9WZo2g&s
ATITUDE,AT6275-A01,https://images.tcdn.com.br/img/img_prod/1365112/atitude_at6275_a01_1167_1_e56f6a9869ee83951a12af052d0a1a5a.jpeg
